year, greatDeal	fairAmount,	onlyLittle,	notAtAll, noOpinion
2001, 42, 35, 17, 5, 1
2002, 35, 31, 27, 6, 1
2003, 34, 34, 21, 10, 1
2004, 35, 27, 31, 7, 0
2005, 35, 30, 28, 6, 1
2006, 40, 37, 18, 5, 0
2007, 43, 33, 18, 6, 0
2008, 40, 34, 19, 7, 1
2010, 34, 34, 24, 7, 1
2011, 34, 34, 24, 7, 0
2012, 37, 36, 19, 7, 1
2013, 36, 33, 23, 8, 0
2014, 31, 35, 24, 10, 0
2015, 34, 34, 22, 10, 0
2016, 42, 31, 19, 7, 0
2017, 47, 30, 16, 7, 1
2018, 42, 30, 20, 8, 0
2019, 47, 27, 18, 8, 0
2020, 43, 26, 22, 9, 0
2021, 46, 29, 15, 9, 0
2022, 44, 27, 18, 10, 0